date,loc,count,source,SFIPS,SFIPS,CFIPS,CFIPS,PLFIPS,GNIS-ID-maybe,unclear11,pop1990,pop2000,Name,State-abb,State,unclear17,unclear18,unclear19,unclear20,unclear21,unclear22,unclear23,unclear24,unclear25,Long,Lat
4/13/2012,Chicago,23,http://www.wjla.com/articles/2012/04/international-monetary-fund-3-arrested-outside-imf-meeting-in-d-c--75163.html,17,17,031,031,14000,423587,596,2783726,2896016,CHICAGO,IL,ILLINOIS,1,b'             ',1,0,13040,13040,0,b'             ',1397,-87.63,41.88
4/10/2012,Washington,2,http://www.oregonlive.com/portland/index.ssf/2012/04/boy_charged_after_police_clear.html,11,11,001,001,50000,531871,18,606900,572059,WASHINGTON,DC,DISTRICT,1,b'             ',1,0,3400,10,0,b'             ',0,-77.0162,38.9051
4/9/2012,Raleigh,9,http://cityroom.blogs.nytimes.com/2012/04/20/wall-st-protesters-lying-on-sidewalk-are-arrested/,37,37,183,183,55000,1024242,350,207951,276093,RALEIGH,NC,NORTH CAROLINA,1,b'             ',1,0,14999,6090,0,b'             ',0,-78.6588,35.822
4/7/2012,Minneapolis,12,http://nhregister.com/articles/2012/04/18/news/new_haven/doc4f8f8aabbd5c2172828046.txt,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
3/29/2012,Washington,1,http://www.metro.us/newyork/local/article/1140521--ten-occupy-wall-street-protesters-arrested-last-night-at-federal-hall-updated,11,11,001,001,50000,531871,18,606900,572059,WASHINGTON,DC,DISTRICT,1,b'             ',1,0,3400,10,0,b'             ',0,-77.0162,38.9051
3/24/2012,New York,14,http://truth-out.org/news/item/8519-save-our-clinics-chicago-activists-occupy-to-save-mental-health-services,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
3/21/2012,New York,6,"http://www.latimes.com/news/nation/nationnow/la-na-nn-occupy-dc-sleepful-protest-20120410,0,3892921.story?track=rss",36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
3/20/2012,Boston,2,http://www.newsobserver.com/2012/04/09/1990787/occupiers-arrested-during-protest.html,25,25,025,025,07000,617565,20,574283,589141,BOSTON,MA,MASSACHUSETTS,1,b'             ',1,0,3170,2320,0,b'             ',0,-71.06667,42.31667
3/17/2012,New York,73,http://www.twincities.com/localnews/ci_20352212/police-arrest-12-at-occupy-rally,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
3/17/2012,Los Angeles,4,http://www.washingtonpost.com/blogs/post_now/post/park-police-take-down-3-tents-in-mcpherson-square/2012/03/29/gIQAnWSEjS_blog.html,06,06,037,037,20802,1660583,261,126379,124283,EAST LOS ANGELES,CA,CALIFORNIA,3,b'             ',3,0,8470,8470,0,b'             ',0,-118.1686,34.0326
